table_schema,table_name,indexname,indexdef
sch_convenios,t_filiales_contactos,pk_filiales_contactos,CREATE UNIQUE INDEX pk_filiales_contactos ON sch_convenios.t_filiales_contactos USING btree (id)
sch_convenios,t_financiadores,pk_financiadores,CREATE UNIQUE INDEX pk_financiadores ON sch_convenios.t_financiadores USING btree (id)
sch_convenios,t_financiadores_contactos,pk_financiadores_contactos,CREATE UNIQUE INDEX pk_financiadores_contactos ON sch_convenios.t_financiadores_contactos USING btree (id)
sch_convenios,t_financiadores_historicos,pk_financiadores_historicos,CREATE UNIQUE INDEX pk_financiadores_historicos ON sch_convenios.t_financiadores_historicos USING btree (id)
sch_convenios,t_homologaciones,pk_homologaciones_id,CREATE UNIQUE INDEX pk_homologaciones_id ON sch_convenios.t_homologaciones USING btree (id)
sch_convenios,t_homologaciones,uk_homologaciones_prest_ref_prest_catalog_fec_vig_fin,"CREATE UNIQUE INDEX uk_homologaciones_prest_ref_prest_catalog_fec_vig_fin ON sch_convenios.t_homologaciones USING btree (id_prestacion_referencia, id_prestacion_catalogo, fecha_vigencia_fin)"
sch_convenios,t_locaciones,pk_locaciones,CREATE UNIQUE INDEX pk_locaciones ON sch_convenios.t_locaciones USING btree (id)
sch_convenios,t_locaciones_contactos,pk_locaciones_contactos,CREATE UNIQUE INDEX pk_locaciones_contactos ON sch_convenios.t_locaciones_contactos USING btree (id)
sch_convenios,t_locaciones_puntos_de_venta,pk_locaciones_puntos_de_venta,CREATE UNIQUE INDEX pk_locaciones_puntos_de_venta ON sch_convenios.t_locaciones_puntos_de_venta USING btree (id)
sch_convenios,t_medicamentos_comerciales,pk_medicamentos_comerciales_id,CREATE UNIQUE INDEX pk_medicamentos_comerciales_id ON sch_convenios.t_medicamentos_comerciales USING btree (id)
sch_convenios,t_medicamentos_comerciales,uk_medicamentos_comerciales_orig_medic_cod_fec_baja,"CREATE UNIQUE INDEX uk_medicamentos_comerciales_orig_medic_cod_fec_baja ON sch_convenios.t_medicamentos_comerciales USING btree (id_origen_medicamento, codigo, fecha_baja)"
sch_convenios,t_medicamentos_comerciales_prod,pk_medicamentos_comerciales_id_1,CREATE UNIQUE INDEX pk_medicamentos_comerciales_id_1 ON sch_convenios.t_medicamentos_comerciales_prod USING btree (id)
sch_convenios,t_modulos,pk_modulos_id,CREATE UNIQUE INDEX pk_modulos_id ON sch_convenios.t_modulos USING btree (id)
sch_convenios,t_modulos_prestaciones,pk_modulos_prestaciones_id,CREATE UNIQUE INDEX pk_modulos_prestaciones_id ON sch_convenios.t_modulos_prestaciones USING btree (id)
sch_convenios,t_modulos_reglas,pk_modulos_reglas_id,CREATE UNIQUE INDEX pk_modulos_reglas_id ON sch_convenios.t_modulos_reglas USING btree (id)
sch_convenios,t_nomencladores,pk_nomencladores,CREATE UNIQUE INDEX pk_nomencladores ON sch_convenios.t_nomencladores USING btree (id)
sch_convenios,t_normas_convenios_planes,pk_normas_conv_planes_id,CREATE UNIQUE INDEX pk_normas_conv_planes_id ON sch_convenios.t_normas_convenios_planes USING btree (id)
sch_convenios,t_normas_documentos,pk_normas_documentos_id,CREATE UNIQUE INDEX pk_normas_documentos_id ON sch_convenios.t_normas_documentos USING btree (id)
sch_convenios,t_normas_documentos,uk_normas_documentos_norm_oper_prest_catalog_tip_norm_doc_fec_v,"CREATE UNIQUE INDEX uk_normas_documentos_norm_oper_prest_catalog_tip_norm_doc_fec_v ON sch_convenios.t_normas_documentos USING btree (id_norma_operativa, id_prestacion_catalogo, id_tipo_norma_documento, fecha_vigencia_fin, id_ambito)"
sch_convenios,t_normas_operativas,pk_normas_operativas_id,CREATE UNIQUE INDEX pk_normas_operativas_id ON sch_convenios.t_normas_operativas USING btree (id)
sch_convenios,t_normas_operativas_archivos,pk_normas_operativas_archivos_id,CREATE UNIQUE INDEX pk_normas_operativas_archivos_id ON sch_convenios.t_normas_operativas_archivos USING btree (id)
sch_convenios,t_normas_operativas_documentos_generales,pk_normas_operativas_documentos_generales_id,CREATE UNIQUE INDEX pk_normas_operativas_documentos_generales_id ON sch_convenios.t_normas_operativas_documentos_generales USING btree (id)
sch_convenios,t_normas_operativas_documentos_generales_ambitos,pk_normas_operativas_documentos_generales_ambitos_id,CREATE UNIQUE INDEX pk_normas_operativas_documentos_generales_ambitos_id ON sch_convenios.t_normas_operativas_documentos_generales_ambitos USING btree (id)
sch_convenios,t_pami_modulos_prestadores,pk_pami_modulos_prestadores_id,CREATE UNIQUE INDEX pk_pami_modulos_prestadores_id ON sch_convenios.t_pami_modulos_prestadores USING btree (id)
sch_convenios,t_planes,pk_planes,CREATE UNIQUE INDEX pk_planes ON sch_convenios.t_planes USING btree (id)
sch_convenios,t_planes_historicos,pk_planes_historicos,CREATE UNIQUE INDEX pk_planes_historicos ON sch_convenios.t_planes_historicos USING btree (id)
sch_convenios,t_planes_tipos_iva,pk_planes_tipos_iva,CREATE UNIQUE INDEX pk_planes_tipos_iva ON sch_convenios.t_planes_tipos_iva USING btree (id)
sch_convenios,t_prestaciones_catalogos,pk_prestaciones_catalogo_id,CREATE UNIQUE INDEX pk_prestaciones_catalogo_id ON sch_convenios.t_prestaciones_catalogos USING btree (id)
sch_convenios,t_prestaciones_catalogos,uk_prestaciones_catalogos_catalog_cod_prest_fec_vig_fin,"CREATE UNIQUE INDEX uk_prestaciones_catalogos_catalog_cod_prest_fec_vig_fin ON sch_convenios.t_prestaciones_catalogos USING btree (id_catalogo, codigo_prestacion, fecha_vigencia_fin)"
sch_convenios,t_prestaciones_catalogos_ambitos,pk_prestaciones_catalogos_ambitos_id,CREATE UNIQUE INDEX pk_prestaciones_catalogos_ambitos_id ON sch_convenios.t_prestaciones_catalogos_ambitos USING btree (id)
sch_convenios,t_prestaciones_catalogos_ambitos,uk_prestaciones_catalogos_ambitos_prest_catalog_ambito_fec_vig_,"CREATE UNIQUE INDEX uk_prestaciones_catalogos_ambitos_prest_catalog_ambito_fec_vig_ ON sch_convenios.t_prestaciones_catalogos_ambitos USING btree (id_prestacion_catalogo, id_ambito, fecha_vigencia_fin)"
sch_convenios,t_prestaciones_convenios_planes,pk_prestaciones_convenios_planes_id,CREATE UNIQUE INDEX pk_prestaciones_convenios_planes_id ON sch_convenios.t_prestaciones_convenios_planes USING btree (id)
sch_convenios,t_prestaciones_descartables,prestaciones_descartables_pk,CREATE UNIQUE INDEX prestaciones_descartables_pk ON sch_convenios.t_prestaciones_descartables USING btree (id)
sch_convenios,t_prestaciones_medicamentos,pk_prestaciones_medicamentos_id,CREATE UNIQUE INDEX pk_prestaciones_medicamentos_id ON sch_convenios.t_prestaciones_medicamentos USING btree (id)
sch_convenios,t_prestaciones_medicamentos,uk_prestaciones_medicamentos_prest_ref_fec_vig_fin,"CREATE UNIQUE INDEX uk_prestaciones_medicamentos_prest_ref_fec_vig_fin ON sch_convenios.t_prestaciones_medicamentos USING btree (id_prestacion_referencia, fecha_vigencia_fin)"
sch_convenios,t_prestadores,pk_prestadores,CREATE UNIQUE INDEX pk_prestadores ON sch_convenios.t_prestadores USING btree (id)
sch_convenios,t_prestadores_contactos,pk_prestadores_contactos,CREATE UNIQUE INDEX pk_prestadores_contactos ON sch_convenios.t_prestadores_contactos USING btree (id)
sch_convenios,t_prestadores_directores,pk_prestadores_directores_id,CREATE UNIQUE INDEX pk_prestadores_directores_id ON sch_convenios.t_prestadores_directores USING btree (id)
sch_convenios,t_prestadores_historicos,pk_prestadores_historicos,CREATE UNIQUE INDEX pk_prestadores_historicos ON sch_convenios.t_prestadores_historicos USING btree (id)
sch_convenios,t_prestadores_modulos,pk_prestadores_modulo_id,CREATE UNIQUE INDEX pk_prestadores_modulo_id ON sch_convenios.t_prestadores_modulos USING btree (id)
sch_convenios,t_prestadores_modulos_pami,pk_prestadores_modulos_pami_id,CREATE UNIQUE INDEX pk_prestadores_modulos_pami_id ON sch_convenios.t_prestadores_modulos_pami USING btree (id)
sch_convenios,t_prestadores_puntos_de_venta,codigo_referencia_index,CREATE UNIQUE INDEX codigo_referencia_index ON sch_convenios.t_prestadores_puntos_de_venta USING btree (codigo_referencia)
