table_schema,table_name,constraint_name,column_name,key_ordinal
sch_convenios,tm_tipos_valorizaciones,pk_tipo_valorizacion_id,id,1
sch_facturador,failed_jobs,failed_jobs_pkey,id,1
sch_facturador,jobs,jobs_pkey,id,1
sch_facturador,t_acciones_pendientes,pk_acciones_pendientes_id,id,1
sch_facturador,t_clasificaciones_valores_prestaciones,pk_clasificaciones_valores_prestaciones_id,id,1
sch_facturador,t_conceptos_facturables,pk_concepto_facturable_id,id,1
sch_facturador,t_configuracion_procesos,pk_configuracion_procesos_id,id,1
sch_facturador,t_detalle_factura,pk_detalle_factura_id,id,1
sch_facturador,t_episodios_generales,pk_episodios_generales_id,id,1
sch_facturador,t_episodios_generales_estados,pk_episodio_general_estado_id,id,1
sch_facturador,t_episodios_homologados,pk_episodio_homologado_id,id,1
sch_facturador,t_episodios_procesados,pk_episodios_procesados_id,id,1
sch_facturador,t_exportacion_factura_job,pk_exportacion_factura_id,id,1
sch_facturador,t_exportacion_pami_job,t_exportacion_pami_job_pkey,id,1
sch_facturador,t_exportacion_pami_job_parametros,t_exportacion_pami_job_parametros_pkey,id,1
sch_facturador,t_exportacion_pami_job_prestadores,t_exportacion_pami_job_prestadores_pkey,id,1
sch_facturador,t_facturas,pk_factura_id,id,1
sch_facturador,t_facturas_estado_factura,t_facturas_estado_factura_pkey,id,1
sch_facturador,t_facturas_prefacturas,pk_factura_prefactura_id,id,1
sch_facturador,t_facturas_prestadores,pk_factura_prestador_id,id,1
sch_facturador,t_his_facturas,pk_his_facturas_id,id,1
sch_facturador,t_his_facturas_prefacturas,pk_his_facturas_prefacturas_id,id,1
sch_facturador,t_importacion_alfabeta_job,t_importacion_alfabeta_job_pkey,id,1
sch_facturador,t_importacion_descartables_job,t_importacion_descartables_job_pkey,id,1
sch_facturador,t_importacion_descartables_job_parametros,pk_importacion_descartables_job_parametros,id,1
sch_facturador,t_importacion_tarifario_job,t_importacion_tarifario_job_pkey,id,1
sch_facturador,t_importacion_tarifario_job_parametros,pk_importacion_tarifario,id,1
sch_facturador,t_metodos_registro,pk_metodo_registro_id,id,1
sch_facturador,t_modulos_prestaciones_procesamientos,pk_t_modulos_prestaciones_procesamientos_id,id,1
sch_facturador,t_pacientes,pk_pacientes_id,id,1
sch_facturador,t_pases,pk_pase_id,id,1
sch_facturador,t_prefacturas,pk_prefacturas_id,id,1
sch_facturador,t_prefacturas_conceptos,pk_prefacturas_conceptos_id,id,1
sch_facturador,t_prestaciones,pk_prestaciones_id,id,1
sch_facturador,t_prestaciones_conceptos_facturables,pk_prestacion_concepto_facturable_id,id,1
sch_facturador,t_prestaciones_episodios,pk_prestaciones_episodios_id,id,1
sch_facturador,t_prestaciones_episodios_generales_estados,pk_prestacion_episodio_general_estado_id,id,1
sch_facturador,t_prestaciones_episodios_homologadas,pk_prestacion_homologada_id,id,1
sch_facturador,t_procesamientos,pk_procesamientos_id,id,1
sch_facturador,t_procesos,pk_procesos_id,id,1
sch_facturador,t_profesionales,pk_profesionales_id,id,1
sch_facturador,t_profesionales_prestadores,pk_profesionales_prestadores_id,id,1
sch_facturador,t_staging_alfabeta,t_staging_alfabeta_pkey,id,1
sch_facturador,t_staging_descartables_tarifarios,t_staging_descartables_tarifarios_pkey,id,1
sch_facturador,t_staging_prestaciones_tarifarios,t_staging_staging_prestaciones_tarifarios_pkey,id,1
sch_facturador,tm_estados_episodios,pk_estados_episodios_id,id,1
sch_facturador,tm_estados_facturas,pk_estado_factura_id,id,1
sch_facturador,tm_estados_prestaciones_episodios,pk_estados_prestaciones_episodios_id,id,1
sch_facturador,tm_estados_proceso,pk_estados_proceso_id,id,1
sch_facturador,tm_estados_registros_staging,pk_estados_staging_id,id,1
sch_facturador,tm_prefacturas_estados,pk_prefacturas_estados_id,id,1
sch_facturador,tm_semaforos,pk_semaforo_id,id,1
sch_facturador,tm_semaforos_proceso,pk_semaforos_proceso_id,id,1
sch_facturador,tm_tipos_acciones_prefacturar,pk_tipo_acciones_prefacturar_id,id,1
sch_facturador,tm_tipos_autorizaciones,pk_tipo_autorizacion_id,id,1
sch_facturador,tm_tipos_facturas,pk_tipo_factura_id,id,1
sch_facturador,tm_tipos_moneda,pk_tipos_moneda_id,id,1
sch_facturador,tm_tipos_motivos,pk_tipo_motivo_id,id,1
sch_facturador,tm_tipos_prestaciones,pk_tipos_prestaciones_id,id,1
sch_motor_reglas,t_clasificaciones_generales,t_clasificaciones_generales_pkey,id,1
sch_motor_reglas,t_clasificaciones_generales_valores,t_clasificaciones_generales_valores_pkey,id,1
sch_motor_reglas,t_conjuntos,t_conjuntos_pkey,id,1
sch_motor_reglas,t_conjuntos_entidades,t_conjuntos_entidades_pkey,id,1
sch_motor_reglas,t_conjuntos_reglas,t_conjuntos_reglas_pkey,id,1
sch_motor_reglas,t_detalles_reglas,t_detalles_reglas_pkey,id,1
sch_motor_reglas,t_reglas,t_reglas_pkey,id,1
sch_motor_reglas,tm_funciones,tm_funciones_pkey,id,1
sch_motor_reglas,tm_tipos_entidades,tm_tipos_entidades_pkey,id,1
