table_schema,table_name,ordinal_position,column_name,data_type,udt_name,is_nullable,column_default
sch_convenios,t_clasificaciones_convenios_planes,1,id,bigint,int8,NO,nextval('sch_convenios.t_clasificaciones_convenios_planes_id_seq'::regclass)
sch_convenios,t_clasificaciones_convenios_planes,2,id_convenio_plan,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,3,id_tipo_inclusion,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,4,id_clasificacion_prestacion_valor,bigint,int8,NO,
sch_convenios,t_clasificaciones_convenios_planes,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_clasificaciones_convenios_planes,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_clasificaciones_valores,1,id,bigint,int8,NO,nextval('sch_convenios.t_valores_clasificaciones_id_seq'::regclass)
sch_convenios,t_clasificaciones_valores,2,nombre,character varying,varchar,NO,
sch_convenios,t_clasificaciones_valores,3,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_clasificaciones_valores,4,id_clasificacion,bigint,int8,NO,
sch_convenios,t_componentes,1,id,bigint,int8,NO,nextval('sch_convenios.t_componentes_id_seq'::regclass)
sch_convenios,t_componentes,2,id_tipo_componente,integer,int4,NO,
sch_convenios,t_componentes,3,nombre,character varying,varchar,NO,
sch_convenios,t_componentes,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_componentes,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_componentes_prestaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_componentes_prestaciones_id_seq'::regclass)
sch_convenios,t_componentes_prestaciones,2,id_componente,bigint,int8,NO,
sch_convenios,t_componentes_prestaciones,3,id_prestacion_catalogo,bigint,int8,NO,
sch_convenios,t_componentes_prestaciones,4,id_tarifario,bigint,int8,NO,
sch_convenios,t_componentes_prestaciones,5,id_ambito,integer,int4,NO,
sch_convenios,t_componentes_prestaciones,6,id_tipo_calculo,integer,int4,NO,
sch_convenios,t_componentes_prestaciones,7,porcentaje,numeric,numeric,YES,
sch_convenios,t_componentes_prestaciones,8,id_tipo_galeno,integer,int4,YES,
sch_convenios,t_componentes_prestaciones,9,cantidad_galeno,numeric,numeric,YES,
sch_convenios,t_componentes_prestaciones,10,coeficiente_nnx,numeric,numeric,YES,
sch_convenios,t_componentes_prestaciones,11,marca_factura,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_componentes_prestaciones,12,marca_honorario,bit,bit,NO,"'0'::""bit"""
sch_convenios,t_componentes_prestaciones,13,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_componentes_prestaciones,14,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_componentes_prestaciones,15,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_contactos,1,id,bigint,int8,NO,nextval('sch_convenios.t_contactos_id_seq'::regclass)
sch_convenios,t_contactos,2,nombre,character varying,varchar,NO,
sch_convenios,t_contactos,3,correo_electronico,character varying,varchar,YES,
sch_convenios,t_contactos,4,telefono,character varying,varchar,YES,
sch_convenios,t_contactos,5,activo,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_contactos,6,tipo_contacto,character varying,varchar,NO,
sch_convenios,t_convenios,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_id_seq'::regclass)
sch_convenios,t_convenios,2,nombre,character varying,varchar,NO,
sch_convenios,t_convenios,4,id_tipo,integer,int4,NO,
sch_convenios,t_convenios,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_capitas,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_capitas_id_seq'::regclass)
sch_convenios,t_convenios_capitas,2,id_convenio,bigint,int8,NO,
sch_convenios,t_convenios_capitas,3,id_capita,bigint,int8,NO,
sch_convenios,t_convenios_capitas,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_capitas,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_filiales,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_filiales_id_seq'::regclass)
sch_convenios,t_convenios_filiales,2,id_convenio,bigint,int8,NO,
sch_convenios,t_convenios_filiales,3,id_filial,bigint,int8,NO,
sch_convenios,t_convenios_filiales,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_filiales,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_gerenciadores,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_gerenciadores_id_seq'::regclass)
sch_convenios,t_convenios_gerenciadores,2,id_convenio,bigint,int8,NO,
sch_convenios,t_convenios_gerenciadores,3,id_financiador,bigint,int8,NO,
sch_convenios,t_convenios_gerenciadores,4,activo,bit,bit,NO,(1)::bit(1)
sch_convenios,t_convenios_gerenciadores,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_gerenciadores,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_gerenciadores,7,fecha_baja,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_planes,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_planes_id_seq'::regclass)
sch_convenios,t_convenios_planes,2,id_convenio,bigint,int8,NO,
sch_convenios,t_convenios_planes,3,id_plan,bigint,int8,NO,
sch_convenios,t_convenios_planes,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_planes,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_planes_descartables,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_planes_descartables_id_seq'::regclass)
sch_convenios,t_convenios_planes_descartables,2,id_convenio_plan,bigint,int8,NO,
sch_convenios,t_convenios_planes_descartables,3,incluye_descartables,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_convenios_planes_descartables,4,porc_descartables,numeric,numeric,YES,
sch_convenios,t_convenios_planes_descartables,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_planes_descartables,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_planes_medicamentos,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_planes_medicamentos_id_seq'::regclass)
sch_convenios,t_convenios_planes_medicamentos,2,id_convenio_plan,bigint,int8,NO,
sch_convenios,t_convenios_planes_medicamentos,3,incluye_medicamentos,bit,bit,NO,"'1'::""bit"""
sch_convenios,t_convenios_planes_medicamentos,4,id_origen_medicamentos,bigint,int8,NO,
sch_convenios,t_convenios_planes_medicamentos,5,porc_medicamentos,numeric,numeric,YES,
sch_convenios,t_convenios_planes_medicamentos,6,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_planes_medicamentos,7,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_convenios_prestadores,1,id,bigint,int8,NO,nextval('sch_convenios.t_convenios_prestadores_id_seq'::regclass)
sch_convenios,t_convenios_prestadores,2,id_convenio,bigint,int8,NO,
sch_convenios,t_convenios_prestadores,3,id_prestador,bigint,int8,NO,
sch_convenios,t_convenios_prestadores,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_convenios_prestadores,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_descartables,1,id,bigint,int8,NO,nextval('sch_convenios.t_descartables_id_seq'::regclass)
sch_convenios,t_descartables,2,codigo_sap,bigint,int8,NO,
sch_convenios,t_descartables,3,nombre_sap,character varying,varchar,YES,
sch_convenios,t_descartables,4,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_descartables,5,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_domicilios,1,id,bigint,int8,NO,nextval('sch_convenios.t_domicilios_id_seq'::regclass)
sch_convenios,t_domicilios,2,calle,character varying,varchar,NO,
sch_convenios,t_domicilios,3,numeracion,integer,int4,YES,
sch_convenios,t_domicilios,4,piso,integer,int4,YES,
sch_convenios,t_domicilios,5,nro_departamento,character varying,varchar,YES,
sch_convenios,t_domicilios,6,codigo_postal,character varying,varchar,YES,
sch_convenios,t_domicilios,7,torre,character varying,varchar,YES,
sch_convenios,t_domicilios,8,bloque,character varying,varchar,YES,
sch_convenios,t_domicilios,9,manzana,character varying,varchar,YES,
sch_convenios,t_domicilios,10,barrio,character varying,varchar,YES,
sch_convenios,t_domicilios,11,comentario,character varying,varchar,YES,
sch_convenios,t_domicilios,12,id_localidad,integer,int4,NO,
sch_convenios,t_filiales,1,id,bigint,int8,NO,nextval('sch_convenios.t_filiales_id_seq'::regclass)
sch_convenios,t_filiales,2,alias,character varying,varchar,YES,
sch_convenios,t_filiales,3,nombre,character varying,varchar,NO,
sch_convenios,t_filiales,4,id_identificador,character varying,varchar,YES,
sch_convenios,t_filiales,5,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_filiales,6,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_filiales,7,id_financiador,bigint,int8,NO,
sch_convenios,t_filiales,8,id_domicilio,bigint,int8,YES,
sch_convenios,t_filiales_contactos,1,id,bigint,int8,NO,nextval('sch_convenios.t_filiales_contactos_id_seq'::regclass)
sch_convenios,t_filiales_contactos,2,id_filial,bigint,int8,NO,
sch_convenios,t_filiales_contactos,3,id_contacto,bigint,int8,NO,
sch_convenios,t_financiadores,1,id,bigint,int8,NO,nextval('sch_convenios.t_financiadores_id_seq'::regclass)
sch_convenios,t_financiadores,2,nombre,character varying,varchar,NO,
sch_convenios,t_financiadores,3,id_identificador,character varying,varchar,YES,
sch_convenios,t_financiadores,4,razon_social,character varying,varchar,NO,
sch_convenios,t_financiadores,5,alias,character varying,varchar,YES,
sch_convenios,t_financiadores,6,cuit,numeric,numeric,NO,
sch_convenios,t_financiadores,7,id_tipo_financiador,integer,int4,NO,
sch_convenios,t_financiadores,8,cant_dias_para_cobrar,integer,int4,NO,
sch_convenios,t_financiadores,9,es_gerenciador,bit,bit,NO,
sch_convenios,t_financiadores,10,correo_electronico,character varying,varchar,NO,
sch_convenios,t_financiadores,11,telefono,numeric,numeric,NO,
sch_convenios,t_financiadores,12,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_financiadores,13,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_financiadores,14,id_condicion_iibb,integer,int4,NO,
sch_convenios,t_financiadores,15,tiene_filiales,bit,bit,NO,
sch_convenios,t_financiadores,16,id_domicilio,bigint,int8,YES,
sch_convenios,t_financiadores,17,id_categoria_iva,integer,int4,NO,
sch_convenios,t_financiadores,18,i18n_clave,character varying,varchar,YES,
sch_convenios,t_financiadores_contactos,1,id,bigint,int8,NO,nextval('sch_convenios.t_financiadores_contactos_id_seq'::regclass)
sch_convenios,t_financiadores_contactos,2,id_financiador,bigint,int8,NO,
sch_convenios,t_financiadores_contactos,3,id_contacto,bigint,int8,NO,
sch_convenios,t_financiadores_historicos,1,id,bigint,int8,NO,nextval('sch_convenios.t_financiadores_historicos_id_seq'::regclass)
sch_convenios,t_financiadores_historicos,2,fecha_vigencia_inicio,timestamp with time zone,timestamptz,NO,
sch_convenios,t_financiadores_historicos,3,fecha_vigencia_fin,timestamp with time zone,timestamptz,YES,
sch_convenios,t_financiadores_historicos,4,fecha_modificacion,timestamp with time zone,timestamptz,NO,
sch_convenios,t_financiadores_historicos,5,nombre,character varying,varchar,NO,
sch_convenios,t_financiadores_historicos,6,id_financiador,bigint,int8,NO,
sch_convenios,t_homologaciones,1,id,bigint,int8,NO,nextval('sch_convenios.t_homologaciones_id_seq'::regclass)
