fk_schema,fk_table,constraint_name,fk_column,pk_schema,pk_table,pk_column,key_ordinal
sch_convenios,t_homologaciones,fk_homologaciones_id_tipo_homologacion,id_tipo_homologacion,sch_convenios,tm_tipos_homologacion,id,1
sch_convenios,t_locaciones,fk_locaciones_prestadores,id_prestador,sch_convenios,t_prestadores,id,1
sch_convenios,t_locaciones_contactos,fk_locaciones_contactos_contactos,id_contacto,sch_convenios,t_contactos,id,1
sch_convenios,t_locaciones_contactos,fk_locaciones_contactos_locaciones,id_locacion,sch_convenios,t_locaciones,id,1
sch_convenios,t_locaciones_puntos_de_venta,fk_locaciones_puntos_de_venta_locaciones,id_locacion,sch_convenios,t_locaciones,id,1
sch_convenios,t_medicamentos_comerciales,fk_medicamentos_comerciales_id_orig_medicamento,id_origen_medicamento,sch_convenios,tm_origen_medicamentos,id,1
sch_convenios,t_modulos_prestaciones,fk_modulos_prestaciones_id_modulo,id_modulo,sch_convenios,t_modulos,id,1
sch_convenios,t_modulos_prestaciones,fk_modulos_prestaciones_id_prestacion_referencia,id_prestacion_referencia,sch_facturador,t_prestaciones,id,1
sch_convenios,t_modulos_prestaciones,fk_modulos_prestaciones_id_tipo_inclusion,id_tipo_inclusion,sch_convenios,tm_tipos_inclusiones,id,1
sch_convenios,t_modulos_reglas,fk_modulos_reglas_id_modulo,id_modulo,sch_convenios,t_modulos,id,1
sch_convenios,t_modulos_reglas,fk_modulos_reglas_id_regla_modulo,id_regla_modulada,sch_convenios,t_reglas_moduladas,id,1
sch_convenios,t_modulos_reglas,fk_modulos_reglas_id_tipo_inclusion,id_tipo_inclusion,sch_convenios,tm_tipos_inclusiones,id,1
sch_convenios,t_normas_convenios_planes,fk_normas_conv_planes_id_conv_plan,id_convenio_plan,sch_convenios,t_convenios_planes,id,1
sch_convenios,t_normas_convenios_planes,fk_normas_conv_planes_id_norma_operativa,id_norma_operativa,sch_convenios,t_normas_operativas,id,1
sch_convenios,t_normas_documentos,fk_normas_documentos_id_norma_operativa,id_norma_operativa,sch_convenios,t_normas_operativas,id,1
sch_convenios,t_normas_documentos,fk_normas_documentos_id_prestacion_catalogo,id_prestacion_catalogo,sch_convenios,t_prestaciones_catalogos,id,1
sch_convenios,t_normas_documentos,fk_normas_documentos_id_tipo_norma_doc,id_tipo_norma_documento,sch_convenios,tm_tipos_normas_documentos,id,1
sch_convenios,t_normas_operativas,fk_normas_operativas_catalogo,id_catalogo,sch_convenios,t_catalogos,id,1
sch_convenios,t_normas_operativas_archivos,fk_normas_operativas_archivos_norm_oper,id_norma_operativa,sch_convenios,t_normas_operativas,id,1
sch_convenios,t_normas_operativas_documentos_generales,fk_normas_operativas_documentos_generales_norm_oper,id_norma_operativa,sch_convenios,t_normas_operativas,id,1
sch_convenios,t_normas_operativas_documentos_generales,fk_normas_operativas_documentos_generales_tip_norm_oper,id_tipo_norma_documento,sch_convenios,tm_tipos_normas_documentos,id,1
sch_convenios,t_normas_operativas_documentos_generales_ambitos,fk_normas_operativas_documentos_generales_norm_oper_doc_grales,id_norma_operativa_documento_general,sch_convenios,t_normas_operativas_documentos_generales,id,1
